DEBUG 2018-08-22 09:12:31,497 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-08-22 09:12:31,498 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-08-22 09:12:31,499 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT @@sql_mode; args=None
DEBUG 2018-08-22 09:43:27,654 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-08-22 09:43:27,655 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-08-22 09:43:27,657 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT @@sql_mode; args=None
DEBUG 2018-08-22 09:49:04,767 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-08-22 09:49:04,768 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-08-22 09:49:04,770 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SHOW FULL TABLES; args=None
DEBUG 2018-08-22 09:49:04,911 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-08-22 09:49:13,733 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-08-22 09:49:13,734 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-08-22 09:49:13,734 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@sql_mode; args=None
DEBUG 2018-08-22 09:49:13,836 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.003) SHOW FULL TABLES; args=None
DEBUG 2018-08-22 09:49:13,840 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-08-22 09:49:13,843 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SHOW FULL TABLES; args=None
DEBUG 2018-08-22 09:49:13,845 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-08-22 09:49:13,874 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SHOW FULL TABLES; args=None
